iso3,year,gdp_growth,unemployment
MKD,2022,2.75888415332967,14.476
MLI,2020,-1.16910834828603,3.528
MLI,2021,3.10094124444834,3.966
MLI,2022,3.70319027595568,2.387
MLT,2020,-3.45728276294712,4.347
MLT,2021,13.4117042939322,3.394
MLT,2022,2.48309993837792,2.921
MMR,2020,-9.04834717984643,1.476
MMR,2021,-12.0163724829177,4.34
MMR,2022,4.0374934360085,3.057
MNA,2020,-2.63476856206411,9.84929376390015
MNA,2021,4.33216201656492,9.71798229506527
MNA,2022,4.32972249891917,9.14578482177534
MNE,2020,-14.9926187023533,17.878
MNE,2021,13.0462607426359,16.543
MNE,2022,7.73954689516201,14.851
MNG,2020,-4.55775197583431,6.594
MNG,2021,1.63676957736662,7.747
MNG,2022,5.0327096366527,6.211
MNP,2020,-29.0598290598291,
MNP,2021,4.96987951807229,
MNP,2022,16.6427546628408,
MOZ,2020,-1.21952250011192,3.921
MOZ,2021,2.37743572761507,4.053
MOZ,2022,4.36445074432608,3.596
MRT,2020,-0.360657384151068,11.054
MRT,2021,0.742715486567747,11.144
MRT,2022,6.79600500489967,10.531
MUS,2020,-14.5465381490166,8.626
MUS,2021,3.40379866177662,7.719
MUS,2022,8.69306675264066,6.322
MWI,2020,0.793596429787286,5.728
MWI,2021,4.55829212016083,5.662
MWI,2022,0.921115069005936,5.037
MYS,2020,-5.45684658426701,4.54
MYS,2021,3.31534954399166,4.64
MYS,2022,9.03173723044451,3.93
NAC,2020,-2.38862032137294,8.23059990715153
NAC,2021,6.0466919748077,5.59210979982087
NAC,2022,2.64058278650343,3.83303148633239
NAM,2020,-8.10140201443319,21.004
NAM,2021,3.60382919248703,20.922
NAM,2022,5.3987247803654,19.695
NCL,2020,-2.40000000000001,13.558
NCL,2021,-2.10000000000004,11.54
NCL,2022,3.50000000000006,10.71
NER,2020,3.55064109436891,0.594
NER,2021,1.38359636198477,0.78
NER,2022,11.9000000000277,0.418
NGA,2020,-6.36889840510109,5.742
NGA,2021,1.10925253938163,5.45
NGA,2022,4.31882949523192,3.821
NIC,2020,-2.23654176262323,6.201
NIC,2021,10.454389484408,6.118
NIC,2022,3.55029945613975,4.961
NLD,2020,-3.86795333823223,3.82
NLD,2021,6.2768306708326,4.209
NLD,2022,5.00723455159611,3.526
NOR,2020,-1.27817177234034,4.424
NOR,2021,3.90868676830634,4.359
NOR,2022,3.24622860260932,3.231
NPL,2020,-2.3696206292072,12.975
NPL,2021,4.838149614115,12.186
NPL,2022,5.6313145568451,10.844
