country,year,stringency_index_mean,cases_pm_mean,deaths_pm_mean,vax_end,iso3,gdp_growth,unemployment
Austria,2020,47.06521857923497,107.17500278090908,2.242531263636364,,AUT,-6.31825509209936,5.201
Austria,2021,61.62435616438356,275.60597831041093,2.816290578547945,73.99297,AUT,4.92309171717903,6.459
Austria,2022,38.7454794520548,1340.841135890411,1.4921685559178084,76.09498,AUT,5.33096379400371,4.992
Azerbaijan,2020,65.47890710382514,57.95360357198347,0.6890191743250689,,AZE,-4.19896065333343,7.24
Azerbaijan,2021,65.46446575342465,106.38388875780822,1.5357443007123288,50.211052,AZE,5.61644027150554,6.04
Azerbaijan,2022,49.016246575342464,55.87304385961643,0.4422815843835616,52.191284,AZE,4.71468033247649,5.65
Bahamas,2020,64.6264480874317,54.44614175977962,1.250779958563536,,BHS,-20.0893664891399,12.027
Bahamas,2021,62.12446575342466,114.53256897260272,3.769740376986301,39.502995,BHS,17.5861390037409,11.032
Bahamas,2022,30.10030136986301,89.69501135671233,0.7994330673972602,43.80594,BHS,10.8779009410268,9.272
Bahrain,2020,55.19174863387978,166.03910440385675,0.6323588329201102,3.8242276,BHR,-5.9113629524152,1.781
Bahrain,2021,44.102,337.63917213972604,1.861668728630137,78.459564,BHR,4.35004091668986,1.541
Bahrain,2022,14.037671232876711,741.8231767726027,0.2537014978082191,80.939445,BHR,6.18016125475185,1.326
Bangladesh,2020,66.01172131147541,8.351560153135813,0.1229371247432506,,BGD,3.44801755122445,5.436
Bangladesh,2021,64.03383561643835,17.339597035095892,0.3327975646656593,38.867336,BGD,6.93867912442445,5.327
Bangladesh,2022,19.83068493150685,7.304204699460273,0.0221267974235616,88.048386,BGD,7.09982877575158,4.593
Barbados,2020,45.27762295081968,3.6298485663911846,0.0683036011019283,,BRB,-14.3647119341564,9.777
Barbados,2021,64.18619178082191,271.11568905424656,2.4551602701369863,55.238663,BRB,-0.0967779613221893,9.433
Barbados,2022,34.072931506849315,749.2120685561644,2.9888907695890405,58.02553,BRB,17.2264626793379,8.365
Belarus,2020,24.91841530054645,57.76804172022038,0.424639146060606,0.0,BLR,-0.672742918585868,4.049
Belarus,2021,34.249013698630144,150.89722271780823,1.2385638638356165,47.486397,BLR,2.43886210234947,3.9
Belarus,2022,10.904575342465751,88.53536610958905,0.4650214607123287,70.18065,BLR,-4.65839591328999,3.574
Belgium,2020,51.53062841530054,152.6929209514325,4.646971121184573,0.0079454975,BEL,-4.7929839083518,5.545
Belgium,2021,50.11490410958904,341.5734209178082,2.042472253972603,76.790184,BEL,6.25445686466593,6.248
Belgium,2022,15.462109589041097,609.0921035835617,1.1771455443561645,79.53704,BEL,3.9562379757933,5.57
Belize,2020,58.01418032786885,72.97103994214876,1.6484833561983472,,BLZ,-13.5228997055506,10.784
Belize,2021,62.25578082191781,145.57096813479453,2.435235604945055,57.1397,BLZ,17.9899244143607,10.322
Belize,2022,23.75156164383561,258.714794010989,0.6190456441095891,62.5248,BLZ,9.25051329530994,8.763
Benin,2020,37.83986338797814,0.6508898103030303,0.0088093360330578,,BEN,3.84879240030133,1.502
Benin,2021,40.46769863013699,4.339316111780822,0.0232964701643835,12.353524,BEN,7.1554516457574,1.779
Benin,2022,18.200246575342465,0.5857967146027397,0.0003982302465753,26.870075,BEN,6.25294705373625,1.685
Bermuda,2020,45.5092349726776,25.305972782369142,0.4253104683195592,,BMU,-6.82757303480177,
Bermuda,2021,49.38994520547946,242.62132542465756,4.060608,71.317856,BMU,4.60742917109469,
Bermuda,2022,23.29172602739726,519.8847147123288,1.988006,74.9614,BMU,6.47622571186707,
Bhutan,2020,63.92814207650274,2.363529764738292,0.0,,BTN,-10.2183974208569,5.03
Bhutan,2021,58.23676712328766,6.981570220273972,0.0105249805479452,75.52134,BTN,4.42136738945015,4.803
Bhutan,2022,29.849753424657536,210.0470293169863,0.063149882739726,89.52455,BTN,5.21386783786224,5.947
Bolivia,2020,67.19986338797814,35.78620593429752,2.0837098466115704,,BOL,-12.7194690092717,7.903
Bolivia,2021,33.68230136986301,98.65472406849317,2.385347934849315,46.659164,BOL,10.0290488827886,5.089
Bolivia,2022,25.92835616438356,128.03159353808218,0.5991159219178083,60.949844,BOL,3.74741781241461,3.552
Bosnia and Herzegovina,2020,46.82188524590164,95.40177494669425,3.4813460133608816,,BIH,-3.01509335460439,15.868
Bosnia and Herzegovina,2021,38.78657534246575,153.43926548575342,8.01707883589041,27.541203,BIH,7.39164256472846,14.897
Bosnia and Herzegovina,2022,30.4173698630137,94.5687042660274,2.39879752739726,29.43689,BIH,4.22681333390325,12.657
