country,year,stringency_index_mean,cases_pm_mean,deaths_pm_mean,vax_end,iso3
Georgia,2020,59.76256830601093,165.09548424198348,1.8185040385123967,,GEO
Georgia,2021,55.50580821917808,510.6658986,8.154672687041096,35.941353,GEO
Georgia,2022,15.238191780821916,631.7875130753424,2.240278821287671,43.59945,GEO
Germany,2020,51.8127868852459,54.390513730512396,1.5401021320936639,0.24608906,DEU
Germany,2021,61.240767123287675,174.44144668493152,2.303017499753425,74.63288,DEU
Germany,2022,19.051506849315068,984.8954893150686,1.5654510879452057,77.1402,DEU
Ghana,2020,42.53210382513661,4.57602835869146,0.027839777523415977,,GHA
Ghana,2021,42.841150684931506,7.525554581013699,0.08025164416986301,17.419489,GHA
Ghana,2022,42.37112328767123,2.060343213427397,0.01281050955890411,36.69228,GHA
Greece,2020,54.51363387978142,36.95818984253444,1.2387126383746556,0.022463426,GRC
Greece,2021,72.27019178082192,248.75179183561644,4.1633387071232875,71.734764,GRC
Greece,2022,30.84449315068493,1036.1842969863014,3.8076012191780824,76.1816,GRC
Greenland,2020,34.60631147540983,1.3278852892561983,0.0,,GRL
Greenland,2021,40.23791780821918,121.00693024657535,0.04891145205479452,72.20873,GRL
Greenland,2022,17.367287671232877,463.1914477260274,0.9782290410958903,73.60124,GRL
Guam,2020,56.86901639344263,118.88589961542701,2.01784181322314,,GUM
Guam,2021,51.27430136986301,136.37846096931509,2.471165144657534,,GUM
Guam,2022,22.99731506849315,574.6702749342465,2.3384851501369863,,GUM
Guatemala,2020,64.04510928961749,21.236721238414365,0.7457609301939059,,GTM
Guatemala,2021,53.606904109589046,75.14174082556164,1.7344451984547946,36.6164,GTM
Guatemala,2022,42.691616438356164,88.26129362712328,0.5980527911068493,49.61789,GTM
Guinea,2020,53.239098360655746,2.689525946181818,0.015876081663911846,,GIN
Guinea,2021,61.46356164383562,3.650203714591781,0.060427380432876716,14.420116,GIN
Guinea,2022,43.57789041095891,1.125898567950685,0.01481445448219178,43.31009,GIN
Guyana,2020,61.83040983606558,21.126246250688705,0.5498657961432507,,GUY
Guyana,2021,63.200794520547944,109.82738859178082,2.9576735506849317,49.961052,GUY
Guyana,2022,31.539835616438353,109.53062136438356,0.783600093150685,60.05126,GUY
Haiti,2020,45.094207650273226,2.3945066992892565,0.05651600819283746,,HTI
Haiti,2021,49.045452054794524,3.851086455989041,0.12789322116164384,1.0773668,HTI
Haiti,2022,38.30750684931507,1.8576669388876712,0.02072013071780822,3.46428,HTI
Honduras,2020,71.76928961748634,31.92566212345304,0.8190315612947658,,HND
Honduras,2021,84.02035616438356,67.71630996876713,1.9231514753296706,46.974564,HND
Honduras,2022,32.72901369863014,22.61478111027397,0.1667837813150685,61.57669,HND
Hong Kong,2020,55.32420765027322,,,,HKG
Hong Kong,2021,65.32454794520548,,,65.31368,HKG
Hong Kong,2022,53.58693150684931,,,92.53534,HKG
Hungary,2020,47.17297814207651,91.74308796600552,2.7129173555647386,,HUN
Hungary,2021,48.19843835616438,264.2039976076712,8.387810182383562,64.70327,HUN
Hungary,2022,14.228136986301369,262.93093010958904,2.6335500161643832,66.29646,HUN
Iceland,2020,39.40199453551913,41.59376296170799,0.2027904137741047,1.2816535,ISL
Iceland,2021,38.056876712328766,132.98585220547946,0.06482546958904109,75.77951,ISL
Iceland,2022,14.358794520547946,1318.1683032328767,1.0732216520547946,81.43955,ISL
India,2020,64.76655737704918,19.841720087152893,0.2874560724892562,,IND
India,2021,67.124,47.22871330904109,0.638775921339726,59.32558,IND
India,2022,41.686109589041095,18.965504959653845,0.09537566413369862,72.062874,IND
Indonesia,2020,55.06693989071038,7.342730495595041,0.21872148093939395,,IDN
Indonesia,2021,68.63630136986302,34.58203151054794,1.198312217950685,57.77088,IDN
Indonesia,2022,39.67134246575342,24.14286267586301,0.16230215103561646,73.010315,IDN
Iran,2020,48.179453551912566,37.50320609558402,1.6953715268677687,,IRN
Iran,2021,73.56334246575342,152.21849992328768,2.340438867260274,66.46118,IRN
Iran,2022,56.29797260273972,41.876157699589044,0.4012075972876712,72.732574,IRN
Iraq,2020,64.68051912568306,37.158171261289255,0.8006195024517906,,IRQ
Iraq,2021,70.81345205479452,93.18767991561643,0.7053446677260274,19.247728,IRQ
Iraq,2022,39.63019178082192,23.12213794912329,0.07584351273424658,25.715412,IRQ
Ireland,2020,56.54366120218579,48.25882232369146,1.2205276557851241,,IRL
Ireland,2021,58.55652054794521,355.4202358739726,2.048086647671233,77.03758,IRL
Ireland,2022,12.490301369863014,503.8266301972603,1.2905090650684932,80.38736,IRL
Israel,2020,58.047431693989076,126.99909350575757,1.0095505052892562,10.9007845,ISR
Israel,2021,51.76079452054794,289.61094738016436,1.4816499316712328,72.295845,ISR
Israel,2022,20.001534246575343,1017.7601777246576,1.1451712328356165,73.84477,ISR
Italy,2020,64.64532786885246,96.28104915851239,3.4010211477190087,0.068211354,ITA
Italy,2021,64.68709589041096,179.11602096054796,2.9246393425479456,81.32709,ITA
