term,coef,se_cluster,t,p,n_obs,r2,n_clusters
C(iso3)[T.LTU],-8.873157259544922,0.4066479003950746,-21.82024609231794,1.4905512336021033e-105,354,0.6439671538781738,177
C(iso3)[T.LUX],-7.884716098171389,0.7816473115094612,-10.087306617795424,6.2870909408932224e-24,354,0.6439671538781738,177
C(iso3)[T.LVA],-9.47820140731262,0.6869495891288637,-13.797521036925199,2.63767987793954e-43,354,0.6439671538781738,177
C(iso3)[T.MAR],-6.118381390161251,1.3287279851593334,-4.604690695535829,4.130793483452531e-06,354,0.6439671538781738,177
C(iso3)[T.MCO],4.4647814300491415,0.3124417318121823,14.289965057334433,2.5273622677913168e-46,354,0.6439671538781738,177
C(iso3)[T.MDA],-9.635357547121082,0.7089101178495585,-13.59179013603224,4.479875790002114e-42,354,0.6439671538781738,177
C(iso3)[T.MDG],-6.635139768049207,1.1691409826078867,-5.675226398486913,1.3850535167995699e-08,354,0.6439671538781738,177
C(iso3)[T.MEX],-7.803417901372855,0.6529549937328684,-11.950927669243503,6.42045292465564e-33,354,0.6439671538781738,177
C(iso3)[T.MLI],-7.581723856397462,1.1978516167392816,-6.329434923697783,2.460606407242799e-10,354,0.6439671538781738,177
C(iso3)[T.MLT],-3.9143531168564114,0.5714988331691259,-6.849275780932385,7.42247856742602e-12,354,0.6439671538781738,177
C(iso3)[T.MMR],-15.116247434855403,1.746820198080763,-8.653579487724995,4.990885450823861e-18,354,0.6439671538781738,177
C(iso3)[T.MNG],-7.561487531627955,0.8156383786407582,-9.270637245183329,1.8503707522837665e-20,354,0.6439671538781738,177
C(iso3)[T.MOZ],-7.628428169584554,1.2086582334820815,-6.311484883205941,2.7637080110660873e-10,354,0.6439671538781738,177
C(iso3)[T.MRT],-7.349440752962364,1.1292158281851852,-6.508446454185813,7.593196534775961e-11,354,0.6439671538781738,177
C(iso3)[T.MUS],-5.272991810565824,0.7306509280448493,-7.216841323497441,5.320900217939522e-13,354,0.6439671538781738,177
C(iso3)[T.MWI],-8.373385953629306,1.1446579901427072,-7.315185868387968,2.5702537545943524e-13,354,0.6439671538781738,177
C(iso3)[T.MYS],-5.654406991358767,0.828504408032817,-6.824836339476418,8.802560883805639e-12,354,0.6439671538781738,177
C(iso3)[T.NAM],-8.094498501081908,0.7186579566805714,-11.263353346103347,1.9903783714600708e-29,354,0.6439671538781738,177
C(iso3)[T.NER],-4.456525672203839,1.2888572453978762,-3.4577341192104556,0.000544738702121807,354,0.6439671538781738,177
C(iso3)[T.NGA],-8.279016324280743,1.185055257311586,-6.986185895721439,2.8245976420200906e-12,354,0.6439671538781738,177
C(iso3)[T.NIC],-4.168214612635372,1.5012092317673735,-2.776571396199138,0.005493556819114736,354,0.6439671538781738,177
C(iso3)[T.NLD],-4.813741349555224,1.0233832383231292,-4.703752386488965,2.554230001079267e-06,354,0.6439671538781738,177
C(iso3)[T.NOR],-7.675287520065014,0.6829077896306104,-11.239127209570462,2.619593859088689e-29,354,0.6439671538781738,177
C(iso3)[T.NPL],-6.002038328247926,1.1490259628304955,-5.223588084522114,1.7548892631356846e-07,354,0.6439671538781738,177
C(iso3)[T.NZL],-6.340362375994882,0.9660254394594976,-6.563349283578275,5.261241093103069e-11,354,0.6439671538781738,177
C(iso3)[T.OMN],-6.358288110520268,0.8858448724361228,-7.177654133770196,7.091768773351164e-13,354,0.6439671538781738,177
C(iso3)[T.PAK],-5.300396648371317,1.4299797978816846,-3.7066234475641644,0.00021004087783841905,354,0.6439671538781738,177
C(iso3)[T.PAN],2.0097909232231927,0.7472400040273702,2.6896190144948093,0.007153363441094544,354,0.6439671538781738,177
C(iso3)[T.PER],-7.354502261551161,1.03214677265228,-7.125442288263416,1.037469958939181e-12,354,0.6439671538781738,177
C(iso3)[T.PHL],-4.720532530871849,1.3492738079331628,-3.4985727160173883,0.0004677555218786953,354,0.6439671538781738,177
C(iso3)[T.PNG],-8.365156945850048,1.3070252306125525,-6.400149553294867,1.552248348162315e-10,354,0.6439671538781738,177
C(iso3)[T.POL],-7.528557634041496,0.5266884445019229,-14.294138617681426,2.380327797299318e-46,354,0.6439671538781738,177
C(iso3)[T.PRI],-9.906430054197962,0.47636190779210374,-20.79601641557237,4.702845198467986e-96,354,0.6439671538781738,177
C(iso3)[T.PRT],-5.5577538545583725,0.5029995262820236,-11.049222840504687,2.2112076128079943e-28,354,0.6439671538781738,177
C(iso3)[T.PRY],-11.970446149738956,0.7164889214281086,-16.7070917522066,1.163744303178232e-62,354,0.6439671538781738,177
C(iso3)[T.PSE],-6.0745188594596335,0.9125213685397835,-6.656851081942418,2.797563804229207e-11,354,0.6439671538781738,177
C(iso3)[T.QAT],-7.80269192563301,1.3250345633356417,-5.888670485689456,3.893148007696734e-09,354,0.6439671538781738,177
C(iso3)[T.ROU],-9.13875674637007,0.5607441054333455,-16.297552944060996,1.0272322624185954e-59,354,0.6439671538781738,177
C(iso3)[T.RUS],-11.360403775990951,0.48887792645158223,-23.237710604870333,1.8938614384889695e-119,354,0.6439671538781738,177
C(iso3)[T.RWA],-1.4523812616011842,1.3941045999903727,-1.0418022159967149,0.2975033865451653,354,0.6439671538781738,177
C(iso3)[T.SAU],-1.767307720229799,1.185021130203475,-1.4913723267755927,0.13586376941433176,354,0.6439671538781738,177
C(iso3)[T.SDN],-12.597358830729542,1.290475988519136,-9.761792503543928,1.6422647747911404e-22,354,0.6439671538781738,177
C(iso3)[T.SEN],-5.999911940773689,1.2754068197714437,-4.704312261595786,2.5472313467997634e-06,354,0.6439671538781738,177
C(iso3)[T.SGP],-3.2458458070423046,1.1604447426043145,-2.797070543624381,0.005156827254240239,354,0.6439671538781738,177
C(iso3)[T.SLB],-12.518661843432483,1.1290917942916832,-11.087372972439194,1.444681784453759e-28,354,0.6439671538781738,177
C(iso3)[T.SLE],-5.288708361555624,1.3488484484357772,-3.920906286906283,8.821656700878989e-05,354,0.6439671538781738,177
